date,ticker,segment,close,chg_1d_pct,chg_5d_pct,chg_20d_pct,volume_vs_20d_avg
2026-09-07,SNPS,EDA & Chip IP,393.84,-5.4,-11.02,-5.32,1.78
2026-09-07,CDNS,EDA & Chip IP,292.7,-4.0,-14.01,-13.72,1.98
2026-09-07,ARM,EDA & Chip IP,252.09,3.92,5.45,-10.79,1.14
2026-09-07,ASML,Semiconductor Equipment (upstream),1714.88,4.17,1.1,-1.5,1.12
2026-09-07,AMAT,Semiconductor Equipment (upstream),454.71,4.31,-1.51,-15.57,0.82
2026-09-07,LRCX,Semiconductor Equipment (upstream),307.65,5.12,1.9,-1.19,1.13
2026-09-07,KLAC,Semiconductor Equipment (upstream),185.6,7.32,5.73,-6.21,1.44
2026-09-07,8035.T,Semiconductor Equipment (upstream),55840.0,4.73,-1.06,2.46,1.03
2026-09-07,6857.T,Semiconductor Equipment (upstream),34480.0,4.2,2.34,7.11,1.18
2026-09-07,TSM,Foundry & Manufacturing,428.91,2.85,2.73,2.11,1.35
2026-09-07,2330.TW,Foundry & Manufacturing,2460.0,2.07,2.29,3.36,1.34
2026-09-07,UMC,Foundry & Manufacturing,20.77,4.58,4.95,10.95,0.94
2026-09-07,GFS,Foundry & Manufacturing,45.21,1.53,1.01,-16.17,0.66
2026-09-07,INTC,Foundry & Manufacturing,95.8,4.51,7.07,-5.76,1.01
2026-09-07,MU,Memory & Storage,1016.59,6.1,8.98,15.84,1.27
2026-09-07,005930.KS,Memory & Storage,270000.0,5.68,3.85,16.88,0.86
2026-09-07,000660.KS,Memory & Storage,1783000.0,8.26,6.51,25.41,0.9
2026-09-07,WDC,Memory & Storage,467.46,5.86,1.74,7.64,0.86
2026-09-07,STX,Memory & Storage,849.28,6.34,2.35,4.49,0.67
2026-09-07,NVDA,Chip Designers (fabless),230.36,0.84,5.89,2.86,1.06
2026-09-07,AMD,Chip Designers (fabless),477.57,4.69,2.58,-1.2,1.1
2026-09-07,QCOM,Chip Designers (fabless),168.74,0.1,3.33,1.07,0.93
2026-09-07,AVGO,Chip Designers (fabless),357.9,0.21,-2.95,-16.33,1.45
2026-09-07,MRVL,Chip Designers (fabless),223.55,7.05,3.2,2.21,0.87
2026-09-07,2454.TW,Chip Designers (fabless),4760.0,7.81,21.27,20.2,1.93
2026-09-07,ANET,Networking & Data Center Hardware,193.78,1.22,-0.82,2.71,0.72
2026-09-07,CSCO,Networking & Data Center Hardware,109.2,0.54,-0.66,-10.07,0.63
2026-09-07,SMCI,Networking & Data Center Hardware,39.59,4.54,6.77,27.18,1.0
2026-09-07,DELL,Networking & Data Center Hardware,524.14,1.5,14.88,15.51,1.38
2026-09-07,HPE,Networking & Data Center Hardware,52.0,-4.48,-0.59,-2.29,1.46
2026-09-07,VRT,Networking & Data Center Hardware,280.53,4.35,9.12,2.98,0.82
2026-09-07,MSFT,Cloud & Hyperscalers (demand side),499.7,-2.04,-2.69,0.13,0.77
2026-09-07,GOOGL,Cloud & Hyperscalers (demand side),338.46,-1.11,-2.28,-4.41,1.05
2026-09-07,AMZN,Cloud & Hyperscalers (demand side),258.51,-0.15,-2.97,-5.82,0.93
2026-09-07,META,Cloud & Hyperscalers (demand side),616.77,1.0,6.7,4.17,1.01
2026-09-07,ORCL,Cloud & Hyperscalers (demand side),158.78,3.08,5.26,8.0,1.17
2026-09-07,BABA,Cloud & Hyperscalers (demand side),113.24,1.28,-4.76,-11.81,0.56
2026-09-07,AAPL,Devices & Consumer OEM,319.97,-2.51,0.08,2.21,1.0
2026-09-07,2317.TW,Devices & Consumer OEM,256.0,0.0,2.4,-3.21,0.89
2026-09-07,6758.T,Devices & Consumer OEM,3780.0,-2.7,-5.88,1.59,0.99
2026-09-07,1810.HK,Devices & Consumer OEM,27.5,-3.31,-0.43,-0.43,1.25
2026-09-07,CRM,Software & AI Platforms,259.23,-1.97,1.26,34.5,0.64
2026-09-07,NOW,Software & AI Platforms,141.26,-2.97,-2.38,13.12,0.68
2026-09-07,PLTR,Software & AI Platforms,174.33,-4.49,-6.42,1.35,0.78
2026-09-07,SAP,Software & AI Platforms,215.11,-0.88,-2.9,4.34,0.95
2026-09-07,SNOW,Software & AI Platforms,337.18,-5.41,2.8,2.02,1.65
2026-09-07,ARW,Distribution & Materials,215.97,2.42,5.91,6.12,0.81
2026-09-07,AVT,Distribution & Materials,92.06,1.37,3.87,-4.63,0.97
2026-09-07,4063.T,Distribution & Materials,5818.0,0.55,-3.4,-4.87,1.0
2026-09-07,LIN,Distribution & Materials,477.57,-0.96,-2.12,-2.21,1.22
